Language_name	Example_number	Example_type	Primary_text	Original_orthography	Analyzed_text	Gloss	Translation
Modern Standard Arabic	1	Elicited from speaker	Malaʾa rraǧulu lkaʾsa bimāʾin.	ملأ الرجل الكأس بماء	malaʾa r-raǧul-u l-kaʾs-a bi-māʾ-in	fill.PRF.3SG.M ART-man.M-NOM ART-glass.F-ACC with-water.M-GEN.IDEF	The man filled the glass with water.
Modern Standard Arabic	2	Elicited from speaker	Malaʾa rraǧulu lkaʾsa min māʾin.	ملأ الرجل الكأس من ماء	malaʾa r-raǧul-u l-kaʾs-a min māʾ-in	fill.PRF.3SG.M ART-man.M-NOM ART-glass.F-ACC from water.M-GEN.IDEF	The man filled the glass with water.
Modern Standard Arabic	3	Elicited from speaker	Imtalaʾat alkaʾsu māʾan.	امتلأت الكأس ماءا	imtalaʾat al-kaʾs-u māʾ-an	fill.VIII.ACAUS.PRF.3SG.F ART-glass.F-NOM water.M-ACC.IDEF	The glass filled up with water.
Modern Standard Arabic	4	Elicited from speaker	ʿArifa lwaladu lbinta.	عرف الولد البنت	ʿarifa l-walad-u l-bint-a	know.PRF.3SG.M ART-boy.M-NOM ART-girl.F-ACC	The boy knew the girl.
Modern Standard Arabic	5	Naturalistic written	ʾAlā taḫāfu min alḥarbi?	ألا تخاف من الحرب؟	ʾa-lā taḫāfu min al-ḥarb-i	Q-NEG fear.IPFV.2SG.M from ART-war.F-GEN	Aren't you afraid of the war?
Modern Standard Arabic	6	Naturalistic written	ʾAlā taḫāfu lmauta mit̠lanā?	ألا تخاف الموت مثلنا	ʾa-lā taḫāfu l-maut-a mit̠la-nā	Q-NEG fear.IPFV.2SG.M ART-death.M-ACC like-1PL	And you aren't afraid of death like us?
Modern Standard Arabic	7	Elicited from speaker	ʾAkala lwaladu ttuffāḥata.	أكل الولد التفاحة	ʾakala l-walad-u t-tuffāḥat-a	eat.PRF.3SG.M ART-boy.M-NOM ART-apple.F-ACC	The boy ate the apple.
Modern Standard Arabic	8	Elicited from speaker	Naẓara lwaladu ʾilâ rraǧuli.	نظر الرجل الى الولد	naẓara l-walad-u ʾilâ r-raǧul-i	look.at.PRF.3SG.M ART-boy.M-NOM to ART-man.M-GEN	The boy looked at the man.
Modern Standard Arabic	9	Elicited from speaker	Raʾâ rraǧulu ṭṭifla.	رأى الرجل الطفل	raʾâ r-raǧul-u ṭ-ṭifl-a	see.PRF.3SG.M ART-man.M-NOM ART-child.M-ACC	The man saw the child.
Modern Standard Arabic	10	Elicited from speaker	Baḥat̠a rraǧulu ʿan alwaladi.	بحث الرجل عن الولد	baḥat̠a r-raǧul-u ʿan al-walad-i	search.PRF.3SG.M ART-man.M-NOM about ART-boy.M-GEN	The man searched for the boy.
Modern Standard Arabic	11	Constructed by native speaker linguist	Qatala lwaladu lḥayyata bi-lʿaṣâi.	قتل الولد الحية بالعصا	qatala l-walad-u l-ḥayyat-a bi-l-ʿaṣâ-i	kill.PRF.3SG.M ART-boy.M-NOM ART-snake.F-ACC with-ART-stick.F-GEN	The boy killed the snake with the stick.
Modern Standard Arabic	12	Elicited from speaker	Qāla rraǧulu liṣadīqihi: "marʾatī fī lbayti".	قال الرجل لصديقه مرأتي في البيت	qāla r-raǧul-u li-ṣadīq-i-hi marʾat-ī fī l-bayt-i	say.PRF.3SG.M ART-man.M-NOM for-friend.M-GEN-3SG.M woman.F-1SG.NOM in ART-house.M-GEN	The man said to his friend: "my wife is at home"."
Modern Standard Arabic	13	Elicited from speaker	Ġasalat albintu ṭṭifla.	غسات البنت الطفل	ġasalat al-bint-u ṭ-ṭifl-a	wash.PRF.3SG.F ART-girl.F-NOM ART-child.M-ACC	The girl washed the child.
Modern Standard Arabic	14	Elicited from speaker	Hal laqiyat ʾummuka ṣadīqatahā?	هل لقيت أمك صديقتها	hal laqiyat ʾumm-u-ka ṣadīqat-a-hā	Q meet.PRF.3SG.F mother.F-NOM-2SG.M friend.F-ACC-3SG.F	Did your mother meet her friend?
Modern Standard Arabic	15	Elicited from speaker	Ḥakâ lwaladu lilbinti ḥikāyatan.	حكى الولد للبنت حكاية	ḥakâ l-walad-u li-l-bint-i ḥikāyat-an	tell.PRF.3SG.M ART-boy.M-NOM for-ART-girl.F-GEN story.F-ACC.IDEF	The boy told the girl a story.
Modern Standard Arabic	16	Elicited from speaker	Ḥakâ lwaladu ʿalâ lbinti ḥikāyatan.	حكى االولد على البنت حكاية	ḥakâ l-walad-u ʿalâ l-bint-i ḥikāyat-an	tell.PRF.3SG.M ART-boy.M-NOM on ART-girl.F-GEN story.F-ACC.IDEF	The boy told the girl a story.
