Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Antipassive -ige	Antipassive -iwe	Applicative	Body Part Incorporation	Causative Simple	Lexical passive	Reciprocal	Reflexive
Ojibwe	1	EAT	miijid	1	1 subjA[1].V.objI[2] 2	Never	Never	Never	Never	Never	Never	Never	Never
Ojibwe	1	EAT	mwaad	15	1 subjA[1].V.objI[2] 2	Never	Never	Never	Never	Never	Regularly	Regularly	Regularly
Ojibwe	2	HUG	aabtoojiinaad	2, 16	1 subjA[1].V.objI[2] 2	Regularly	Regularly	Regularly	Never	Never	Regularly	Regularly	Regularly
Ojibwe	3	LOOK AT	gnawaabmaad	3	1 subjA[1].V.objI[2] 2	Regularly	Never	Never	Never	Never	Regularly	Regularly	Regularly
Ojibwe	3	LOOK AT	gnawaabndang	55	1 subjA[1].V.objI[2] 2	Never	Never	Never	Never	Never	Never	Never	Never
Ojibwe	4	SEE	waabmaad	4	1 subjA[1].V.objI[2] 2	Regularly	Never	Regularly	Never	Never	Regularly	Regularly	Regularly
Ojibwe	4	SEE	waabndang	87	1 subjA[1].V.objI[2] 2	Never	Never	Never	Never	Never	Never	Never	Never
Ojibwe	5	SMELL	biijmaamaad	5	1 V.objI[2] 2	Regularly	Never	Regularly	Never	Never	Regularly	Marginally	Regularly
Ojibwe	5	SMELL	biijmaandang	88	1 subjA[1].V.objI[2] 2	Never	Never	Never	Never	Never	Never	Never	Never
Ojibwe	6	FEAR	gsaad	6	1 V.objI[2] 2	Never	Regularly	Regularly	Never	Never	Regularly	Regularly	Regularly
Ojibwe	6	FEAR	gtang	97	1 subjA[1].V.objI[2] 2	Never	Never	Never	Never	Never	Never	Never	Never
Ojibwe	7	FRIGHTEN	zeghaad	7	1 subjA[1].V.objI[2] 2	Never	Never	Never	Never	Never	Regularly	Regularly	Never
Ojibwe	8	LIKE	bgishgenmaad	54	1 subjA[1].V.objI[2] 2	Never	Never	Never	Never	Never	Regularly	Regularly	Regularly
Ojibwe	8	LIKE	bshigendang	53	1 subjA[1].V.objI[2] 2	Never	Never	Never	Never	Never	Never	Never	Never
Ojibwe	8	LIKE	mdaagwendang	52	1 subjA[1].V.objI[2] 2	Never	Never	Never	Never	Never	Never	Never	Never
Ojibwe	9	KNOW	gkenmaad	8	1 subjA[1].V.objI[2] 2	Regularly	Never	Never	Never	Never	Regularly	Regularly	Regularly
Ojibwe	9	KNOW	gkendang	106	1 subjA[1].V.objI[2] 2	Never	Never	Never	Never	Never	Never	Never	Never
Ojibwe	10	THINK	tanenmaad	51	1 subjA[1].V.objI[2] 2	Never	Never	Never	Never	Never	Never	Never	Never
Ojibwe	10	THINK	mdaagwenmaad	164	1 subjA[1].V.objI[2] 2	Never	Never	Never	Never	Never	Never	Never	Never
Ojibwe	10	THINK	nendang	165	1 subjA[1].V.objI[2] 2	Never	Never	Never	Never	Never	Never	Never	Never
Ojibwe	10	THINK	nenmaad	166	1 subjA[1].V.objI[2] 2	Marginally	Never	Regularly	Never	Never	Regularly	Regularly	Regularly
Ojibwe	11	SEARCH FOR	ndanewaad	9	1 subjA[1].V.objI[2] 2	Regularly	Never	Regularly	Never	Never	Regularly	Regularly	Never
Ojibwe	11	SEARCH FOR	ndanehang	118	1 subjA[1].V.objI[2] 2	Never	Never	Never	Never	Never	Never	Never	Never
Ojibwe	12	WASH	gziibiignaad	10, 151	1 subjA[1].V.objI[2] 2	Regularly	Never	Regularly	Regularly	Never	Regularly	Marginally	Regularly
Ojibwe	12	WASH	gziibiignang	129, 138	1 subjA[1].V.objI[2] 2	Never	Never	Never	Never	Never	Never	Never	Never
Ojibwe	13	DRESS	biiskon'yehaad	11, 49	1 subjA[1].V.objI[2] 2	Never	Regularly	Never	Never	Never	Regularly	Regularly	Regularly
Ojibwe	14	SHAVE (a body part/person)	gaashkibaanaad	158	1 subjA[1].V.objI[2] 2	Regularly	Never	Never	Never	Never	Regularly	Regularly	Regularly
Ojibwe	15	HELP	naadmawaad	13	1 subjA[1].V.objI[2] 2	Regularly	Never	Regularly	Never	Never	Regularly	Regularly	Regularly
Ojibwe	16	FOLLOW	noopnanaad	14	1 subjA[1].V.objI[2] 2	Never	Never	Regularly	Never	Never	Never	Never	Regularly
Ojibwe	17	MEET	nkweshkwaad	50	1 subjA[1].V.objI[2] 2	Never	Never	Never	Never	Never	Never	Never	Never
Ojibwe	17	MEET	nkweshkang	109	1 subjA[1].V.objI[2] 2	Never	Never	Never	Never	Never	Never	Never	Never
Ojibwe	18	TALK	gnoonaad	57	1 subjA[1].V.objI[2] 2	Never	Never	Never	Never	Never	Regularly	Regularly	Regularly
Ojibwe	18	TALK	gnoodang	163	1 subjA[1].V.objI[2] 2	Never	Never	Never	Never	Never	Never	Never	Never
Ojibwe	19	ASK FOR	ndodmawaad	56, 150	1 subjA[1].V.objI[2] 2	Regularly	Never	Never	Never	Never	Regularly	Regularly	Regularly
Ojibwe	19	ASK FOR	ndodang	90, 91	1 subjA[1].V.objI[2] 2	Never	Never	Never	Never	Never	Never	Never	Never
Ojibwe	19	ASK FOR	ndodmaaged	92	1 subjS[1].V.objII[2] 2	Never	Never	Never	Never	Never	Never	Never	Never
Ojibwe	20	SHOUT AT	biibaagmaad	167	1 subjA[1].V.objI[2] 2	Never	Never	Never	Never	Never	Regularly	Regularly	Never
Ojibwe	20	SHOUT AT	(?biibaagndang)		1 subjA[1].V.objI[2] 2	Never	Never	Never	Never	Never	Never	Never	Never
Ojibwe	21	TELL	wiindmawaad	58, 149	1 subjA[1].V.objI[2] 2 UTT3	Regularly	Never	Never	Never	Never	Never	Regularly	Regularly
Ojibwe	22	SAY	naad	60	1 subjA[1].V.objI[2] 2 UTT3	Never	Never	Never	Never	Never	Regularly	Never	Never
Ojibwe	22	SAY	kidod	59	1 V.subjS[1] UTT2	Never	Never	Never	Never	Never	Never	Never	Never
Ojibwe	23	NAME	zhinkaanaad	112	1 subjA[1].V.objI[2] 2 (3)	Regularly	Never	Regularly	Never	Never	Regularly	Regularly	Never
