Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Adversative Passive	Comitative alternation	Direct Reciprocal	Indirect Reciprocal	Mediopassive	Object deletion	Reflexive deleting alternation	Resultative
Even	1	EAT	d’eb-	19	1-nom 2-acc V.subj[1]	Regularly	Never	Regularly	Never	Regularly	Regularly	Never	Never
Even	2	HUG	kemni-	90	1-nom 2-acc V.subj[1]	Marginally	Never	Regularly	Never	Marginally	Never	Never	Marginally
Even	3	LOOK AT	it- (1)	5	1-nom 2-all V.subj[1]	Marginally	Never	Regularly	Never	Never	Never	Never	Never
Even	4	SEE	it- (2)	39	1-nom 2-acc V.subj[1]	Marginally	Never	Regularly	Never	Regularly	Never	Never	Never
Even	5	SMELL	ŋosu-t-	91	1-nom 2-acc V.subj[1]	Marginally	Never	Marginally	Never	Marginally	Never	Never	Never
Even	6	FEAR	ŋel-	62, 63	1-nom 2-instr V.subj[1]	Marginally	Never	Regularly	Never	Never	Never	Never	Never
Even	7	FRIGHTEN	ŋelu-ken	93	1-nom 2-acc V.subj[1]	Regularly	Never	Regularly	Never	Regularly	Never	Never	Never
Even	8	LIKE	ajav-	27	1-nom 2-acc V.subj[1]	Marginally	Never	Regularly	Never	Marginally	Never	Never	Never
Even	9	KNOW	ha-	25	1-nom 2-acc V.subj[1]	Marginally	Never	Regularly	Never	Regularly	Marginally	Never	Never
Even	10	THINK	mulgat-	92	1-nom 2-acc V.subj[1]	Marginally	Never	Never	Never	Regularly	Regularly	Never	Never
Even	11	SEARCH FOR	gele-t	30	1-nom 2-acc V.subj[1]	Marginally	Never	Regularly	Never	Marginally	Never	Never	Never
Even	12	WASH	av-	53, 61, 64	1-nom 2-acc V.subj[1]	Marginally	Never	Regularly	Never	Regularly	Never	Regularly	Never
Even	13	DRESS	tet-	18	1-nom 2-acc V.subj[1]	Never	Never	Never	Never	Regularly	Never	Regularly	Never
Even	13	DRESS	tet-u	17	1-nom 2-acc V.subj[1]	Marginally	Never	Regularly	Never	Regularly	Never	Never	Regularly
Even	14	SHAVE (a body part/person)	hus-	67	1-nom 2-acc V.subj[1]	Marginally	Never	Regularly	Never	Regularly	Marginally	Marginally	Never
Even	15	HELP	bel-	68	1-nom 2-acc V.subj[1]	Marginally	Never	Marginally	Never	Marginally	Never	Never	Never
Even	16	FOLLOW	bod-	69	1-nom 2-acc V.subj[1]	Marginally	Never	Regularly	Never	Marginally	Never	Never	Never
Even	17	MEET	baka-lda-	32, 65	1-nom 2-acc V.subj[1]	Marginally	Regularly	Regularly	Never	Regularly	Never	Never	Never
Even	18	TALK	t’öre-	47	1-nom 2-all 3-prol V.subj[1]	Never	Regularly	Marginally	Regularly	Marginally	Never	Never	Marginally
Even	19	ASK FOR	ulgim-	2	1-nom 2-acc 3-all V.subj[1]	Marginally	Never	Marginally	Regularly	Marginally	Never	Never	Never
Even	20	SHOUT AT	irka	41, 70	1-nom 2-all V.subj[1]	Never	Never	Marginally	Never	Never	Never	Never	Never
Even	21	TELL	gö’n-	38, 49, 66	1-nom 2-acc 3-all V.subj[1]	Marginally	Never	Marginally	Regularly	Regularly	Marginally	Never	Never
Even	22	SAY	gö’n-	38, 49, 66	1-nom 2-acc 3-all V.subj[1]	Marginally	Never	Marginally	Regularly	Regularly	Marginally	Never	Never
Even	23	NAME	gerbet-	10	1-nom 2-acc 3-instr V.subj[1]	Marginally	Never	Regularly	Never	Never	Never	Never	Never
Even	24	BUILD	d’uŋna-	9	1-nom 2-acc V.subj[1]	Marginally	Never	Never	Never	Regularly	Never	Never	Never
Even	24	BUILD	o-	71	1-nom 2-acc 3-abl V.subj[1]	Marginally	Never	Never	Never	Regularly	Never	Never	Never
Even	25	BREAK	čelgel-	7	1-nom 2-acc 3-instr V.subj[1]	Regularly	Never	Never	Never	Marginally	Never	Never	Never
Even	26	KILL	ma-	24, 55, 58	1-nom 2-acc 3-instr V.subj[1]	Regularly	Never	Regularly	Never	Regularly	Never	Never	Never
Even	27	BEAT	pavul-	72	1-nom 2-acc 3-instr V.subj[1]	Regularly	Never	Regularly	Never	Marginally	Never	Never	Never
Even	28	HIT	ieč-	20, 103	1-nom 2-acc 3-instr V.subj[1]	Regularly	Never	Regularly	Never	Marginally	Never	Never	Never
Even	29	TOUCH	huŋri-	52	1-nom 2-acc 3-instr V.subj[1]	Never	Never	Regularly	Never	Regularly	Never	Never	Never
Even	30	CUT	mine-	15, 60	1-nom 2-acc 3-instr V.subj[1]	Regularly	Never	Regularly	Never	Regularly	Never	Never	Never
Even	31	TAKE	ga-	73	1-nom 2-acc 3-abl V.subj[1]	Regularly	Never	Marginally	Regularly	Regularly	Never	Never	Never
Even	32	TEAR	atal-	48	1-nom 2-acc 3-abl V.subj[1]	Regularly	Never	Marginally	Never	Regularly	Never	Never	Regularly
Even	33	PEEL	n'aŋu-	74	1-nom 2-acc V.subj[1]	Marginally	Never	Never	Never	Regularly	Never	Never	Marginally
Even	34	HIDE	diken-	75	1-nom 2-acc 3-abl V.subj[1]	Marginally	Never	Regularly	Never	Regularly	Never	Never	Regularly
Even	35	SHOW	ič-uken-	42	1-nom 2-acc 3-dat V.subj[1]	Marginally	Never	Marginally	Regularly	Regularly	Never	Never	Never
Even	36	GIVE	bö-	6, 104	1-nom 2-acc 3-dat V.subj[1]	Marginally	Never	Marginally	Regularly	Regularly	Never	Never	Never
Even	37	SEND	hör-u-	40	1-nom 2-acc 3-loc V.subj[1]	Regularly	Never	Marginally	Marginally	Regularly	Never	Never	Marginally
Even	38	CARRY	ŋal-	76, 97	1-nom 2-acc 3-loc V.subj[1]	Marginally	Never	Regularly	Never	Regularly	Never	Never	Never
Even	39	THROW	ule-	50	1-nom 2-acc 3-loc V.subj[1]	Regularly	Never	Regularly	Never	Regularly	Never	Never	Marginally
Even	40	TIE	ön’e-	51, 59, 95	1-nom 2-acc 3-loc V.subj[1]	Regularly	Never	Regularly	Never	Regularly	Never	Never	Regularly
Even	41	PUT	ne-	34	1-nom 2-acc 3-loc V.subj[1]	Marginally	Never	Regularly	Never	Regularly	Never	Never	Marginally
Even	42	POUR	öŋke-	33, 57	1-nom 2-acc 3-loc V.subj[1]	Never	Never	Never	Never	Regularly	Never	Never	Regularly
Even	43	COVER	das-	14	1-nom 2-acc 3-instr V.subj[1]	Marginally	Never	Marginally	Never	Regularly	Never	Never	Regularly
Even	44	FILL	miltere-mken-	94	1-nom 2-acc 3-instr V.subj[1]	Marginally	Never	Never	Never	Regularly	Never	Never	Marginally
Even	45	LOAD	in-u-	29, 101	1-nom 2-acc 3-loc V.subj[1]	Marginally	Never	Marginally	Never	Regularly	Never	Never	Regularly
